file_path,emotion,speaker_id,gender,dataset,mel_path,mel3_path,mfcc_path,label
data/tess\OAF_Sad\OAF_came_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01662.npy,mel_3channel\tess_tess_OAF_01662.npy,mfccs\tess_tess_OAF_01662.npy,5
data/tess\YAF_neutral\YAF_lore_neutral.wav,neutral,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03539.npy,mel_3channel\tess_tess_YAF_03539.npy,mfccs\tess_tess_YAF_03539.npy,4
data/ravdess\Actor_13\03-01-06-01-01-02-13.wav,fearful,ravdess_13,male,ravdess,mel_spectrograms\ravdess_ravdess_13_00653.npy,mel_3channel\ravdess_ravdess_13_00653.npy,mfccs\ravdess_ravdess_13_00653.npy,2
data/ravdess\Actor_01\03-01-03-01-02-01-01.wav,happy,ravdess_01,male,ravdess,mel_spectrograms\ravdess_ravdess_01_00006.npy,mel_3channel\ravdess_ravdess_01_00006.npy,mfccs\ravdess_ravdess_01_00006.npy,3
data/tess\OAF_Fear\OAF_nag_fear.wav,fearful,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01356.npy,mel_3channel\tess_tess_OAF_01356.npy,mfccs\tess_tess_OAF_01356.npy,2
data/tess\OAF_Sad\OAF_mode_sad.wav,sad,tess_OAF,female,tess,mel_spectrograms\tess_tess_OAF_01751.npy,mel_3channel\tess_tess_OAF_01751.npy,mfccs\tess_tess_OAF_01751.npy,5
data/ravdess\Actor_19\03-01-05-02-01-01-19.wav,angry,ravdess_19,male,ravdess,mel_spectrograms\ravdess_ravdess_19_00960.npy,mel_3channel\ravdess_ravdess_19_00960.npy,mfccs\ravdess_ravdess_19_00960.npy,0
data/tess\YAF_angry\YAF_vine_angry.wav,angry,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_02828.npy,mel_3channel\tess_tess_YAF_02828.npy,mfccs\tess_tess_YAF_02828.npy,0
data/ravdess\Actor_11\03-01-01-01-02-01-11.wav,neutral,ravdess_11,male,ravdess,mel_spectrograms\ravdess_ravdess_11_00522.npy,mel_3channel\ravdess_ravdess_11_00522.npy,mfccs\ravdess_ravdess_11_00522.npy,4
data/tess\YAF_sad\YAF_life_sad.wav,sad,tess_YAF,female,tess,mel_spectrograms\tess_tess_YAF_03934.npy,mel_3channel\tess_tess_YAF_03934.npy,mfccs\tess_tess_YAF_03934.npy,5
